,time,S,E,I_sc,I_c,I_ct,I_ch,I_cicu,death,R,R_ct,N_contact,N,CumIncid,Cum_import,Cum_ss,CumIncid_tot,CumED_ct,CumAdmit,CumICU,Cumdx_ct,Cumdx_admicu,Cumdx_tot,pSet,dur_latent,dur_incubation,dur_symptomatic,dur_admitted,dur_icu,prob_test,prob_admit_diagnosed,condprob_icu,condprob_cfr,R0,initpop,seed_backCalc,prop_travel_test,drop_Reffective,social_distancing,tau_1,tau_2,tau_1_max,tau_2_max,when_test_increase,Ncases_trigger,serial_interval,event_ss,event_ss_modulo,cfr_among_dx,cfr_among_admit,import_travel,prob_diagnosed,prob_test_max,dur_subclinical,dur_inf,beta,omega,alpha,g1,g2,g3,rate_icu,death_rate,length_of_stay,parm_import,prob_admit,min_SI_calc,max_SI_calc,valid_si_check,validity_cfr_among_dx,valid_cfr_check,prob_test_max_valid,valid_prob_test_max_check,valid_tau_1_check,valid_tau_2_check,valid_prob_test_check,valid_keep,LHS_seed,seed_prop
85,84,5893889.49144439,33518.4139222527,45140.6724327039,59025.595195214904,6560.264026944959,4394.137077531721,812.4092787055549,1428.45129913219,131644.456143602,20317.109179523603,6183535.73831769,6196731,302434.00894669397,127.499924234925,79.9996846824581,302641.508555611,21187.837640802,12324.533221036001,3800.57731196654,3256.84028621395,16316.328809778,19573.169095991998,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
86,85,5874659.74865713,35495.9678038719,47862.2089345343,62691.9052081231,6967.62702920543,4668.39120236557,863.9135265061259,1524.37643999078,140336.229761156,21660.6314371097,6182706.69180194,6196731,321661.251850655,129.99980752647699,79.9996846824581,321871.251342863,22561.220531932402,13123.719103245101,4052.7467414739203,3472.40139485654,17403.4156593884,20875.8170542449,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
87,86,5854320.55932488,37569.902109568,50724.243494998205,66561.9845391711,7397.6340712970805,4958.06732392638,918.4200841801961,1626.37002868144,149566.353159116,23087.4658641762,6181830.50849192,6196731,341997.940892926,132.50009750651301,79.9996846824581,342210.440675114,24017.0611433812,13970.8962288802,4320.61302762328,3701.3095405802205,18558.3429369638,22259.652477543998,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
88,87,5832821.8635658,39742.239236268,53730.844920676,70643.866090375,7851.172548496841,5263.7991169783,976.0684574777471,1734.7796914796,159364.188864994,24602.17750745,6180905.18018557,6196731,363494.136681435,135.000068078026,79.9996846824581,363709.136434195,25559.5144466336,14868.4828752489,4605.0428733216495,3944.2938619443103,19784.8786683753,23729.1725303196,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
89,88,5810111.82065456,42014.7069237843,56885.9259416372,74945.7835594262,8329.162384651228,5586.23957716489,1037.0014739768199,1849.97607748629,169760.796442913,26209.5869644,6179928.62048672,6196731,386201.67912588204,137.500305993942,79.9999135641129,386419.17934544,27192.946421278102,15819.020056401001,4906.95446460414,4202.12332406509,21087.018903058997,25289.142227124103,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
90,89,5786133.68829517,44392.6698112578,60193.912217456505,79475.6967337287,8832.48283681807,5926.025360885029,1101.36371904447,1972.34273534814,180788.14882051898,27914.6694697735,6178898.7853479,6196731,410172.311449095,140.00037343527,84.99988230169609,410397.311704831,28921.7939896827,16825.0901321865,5227.294729770821,4475.59179701423,22468.887074422997,26944.4788714372,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
91,90,5760840.37044817,46871.6891540341,63657.9869140512,84241.6251312479,9362.02999603248,6283.80052415966,1169.2992248142,2102.2803888731196,192479.349506788,29722.568711827404,6177813.58986612,6196731,435458.12915070297,142.500527908606,89.99987321577841,435690.62955182703,30750.626404101,17889.352441605803,5567.045972497181,4765.5189230306105,23934.765694732203,28700.284617762798,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
92,91,5734184.84243813,49448.9081741477,67278.98190529269,89250.93559886949,9918.6173902954,6660.16925399095,1240.9545010961,2240.20720547944,204868.748257505,31638.6352751928,6176671.05164914,6196731,462111.156175079,145.001454302886,89.9999324876981,462346.157561869,32684.0789145211,19014.504711533602,5927.22946431073,5072.75749473058,25489.1098994723,30561.8673942029,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
93,92,5706111.13522878,52129.743345660594,71058.3017862829,94510.2471610384,10502.985226537,7055.689305780391,1316.4712577779198,2386.5568014073,217991.526593814,33668.3432929201,6175469.29740849,6196731,490182.363797978,147.501040752683,89.9999324876981,490419.864771218,34726.7958042626,20203.2500801601,6308.8939941073795,5398.17868158425,27136.502261562997,32534.6809431473,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
94,93,5676569.0080242995,54912.896737891795,74997.6689347144,100025.705648388,11115.811564186399,7470.8887667975205,1395.98986561525,2541.77968051885,231883.907336408,35817.3434411789,6174206.53012288,6196731,519721.991133323,150.00090988850098,89.9999324876981,519961.99197569897,36883.4848716268,21458.3284466701,6713.122338758029,5742.68169383446,28881.6788767429,34624.3605705774,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
