,time,S,E,I_sc,I_c,I_ct,I_ch,I_cicu,death,R,R_ct,N_contact,N,CumIncid,Cum_import,Cum_ss,CumIncid_tot,CumED_ct,CumAdmit,CumICU,Cumdx_ct,Cumdx_admicu,Cumdx_tot,pSet,dur_latent,dur_incubation,dur_symptomatic,dur_admitted,dur_icu,prob_test,prob_admit_diagnosed,condprob_icu,condprob_cfr,R0,initpop,seed_backCalc,prop_travel_test,drop_Reffective,social_distancing,tau_1,tau_2,tau_1_max,tau_2_max,when_test_increase,Ncases_trigger,serial_interval,event_ss,event_ss_modulo,cfr_among_dx,cfr_among_admit,import_travel,prob_diagnosed,prob_test_max,dur_subclinical,dur_inf,beta,omega,alpha,g1,g2,g3,rate_icu,death_rate,length_of_stay,parm_import,prob_admit,min_SI_calc,max_SI_calc,valid_si_check,validity_cfr_among_dx,valid_cfr_check,prob_test_max_valid,valid_prob_test_max_check,valid_tau_1_check,valid_tau_2_check,valid_prob_test_check,valid_keep,LHS_seed,seed_prop
1,0,6196531.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6196731.0,6196731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
2,1,6196479.76879663,39.8641270754472,82.9354794155104,109.136178440777,2.54435194097525,1.45907169129157,0.0393164082647861,0.00157138191057169,14.997644916240802,0.253462097251793,6196726.95568858,6196731,45.731205625598705,0.499997742070079,5.0,51.2312033676688,2.73403569147484,1.56373782821912,0.042603571919625,0.0199851777645478,0.0627838536380477,0.0827690314025954,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
3,2,6196428.46602606,64.21209931008251,83.66687879497,115.341154819835,4.55711200122995,2.62566671562859,0.133974870468634,0.0110901941480258,31.048419746198398,0.9375774851259059,6196723.67215622,6196731,91.5339804410722,0.999993540976862,9.99999995563752,102.533973937687,5.2593964958062305,3.00602477079488,0.15717437587418898,0.0739930564870536,0.2353501042379,0.309343160724953,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
4,3,6196379.51291949,77.1908089712381,91.8226629822496,122.022676351772,6.44898821972745,3.7385854062060897,0.263826066833957,0.0335667281455454,47.9793780718552,1.98658771525566,6196720.51503358,6196731,139.987084192787,1.49999636485951,9.99999995563752,151.48708051328398,7.9355056653799405,4.536048470788799,0.334044088328015,0.156620244608297,0.50722882065692,0.663849065265209,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
5,4,6196326.49595717,88.2943332025761,102.869684129338,130.221923399978,8.354150523731441,4.879823607683849,0.422097383903299,0.0725850574836904,65.9847678149771,3.4046777077534105,6196717.27134343,6196731,192.504037909071,2.00000496271723,9.99999995563752,204.504042827426,10.8996328783026,6.23370140225314,0.5739375961646079,0.26819333347551,0.8819924498046701,1.15018578328017,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
6,5,6196269.08098046,98.9078524566511,115.573902172258,139.947491561535,10.2488047472536,6.05966368147897,0.6038176774587191,0.13109722797130902,85.2589015063139,5.18748850900652,6196713.95661667,6196731,249.919011764481,2.00000781980882,9.99999995563752,261.919019539928,14.1218222730632,8.10904957010603,0.878059120699368,0.408063123671085,1.3634624585343302,1.77152558220541,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
7,6,6196206.00893966,109.821563352614,129.47261917384898,151.680728768939,12.2581668943575,7.32286110704824,0.8073412306419051,0.21166621815044298,106.065465076543,7.35064852260792,6196710.39996455,6196731,312.99105256930596,2.00000781980882,9.99999995563752,324.991060344752,17.7373556928002,10.2133282800059,1.2501244233084299,0.5772901571905009,1.95882241360178,2.53611257079228,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
8,7,6196136.53875241,121.500104672282,144.48777808946198,165.435111652173,14.3981606404709,8.6793116851609,1.0324166724175698,0.316767921565217,128.69248440060102,9.91911186211576,6196706.57334309,6196731,382.461239820802,2.00000781980882,9.99999995563752,394.46124759624803,21.779733715832602,12.5660350658978,1.6950614386471001,0.7777263455860352,2.67694945501012,3.45467580059614,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
9,8,6196059.92150031,134.232780878189,160.717692309658,181.228220606267,16.6832448493747,10.138010746955,1.2792999833006202,0.44888007104757705,153.429665195285,12.920705050443802,6196702.45056435,6196731,459.078491915075,2.00000781980882,9.99999995563752,471.078499690522,26.283099243474602,15.1870414576471,2.2183093005151298,1.01144560920241,3.52746208633547,4.53890769553788,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
10,9,6195975.36711168,148.228316463952,178.337931176528,199.11077279773,19.1298955262039,11.7091395158118,1.54866345134798,0.610533849014809,180.57140436507498,16.3862311788576,6196698.00176766,6196731,543.632880549075,2.00000781980882,9.99999995563752,555.632888324521,31.2857982836138,18.098665237622303,2.82583526109619,1.28075218280709,4.520781000134201,5.80153318294129,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
11,10,6195882.02299869,163.663065137219,197.558092701875,219.175063496445,21.757765308678998,13.4047918305015,1.8415879897243101,0.804360699853986,210.42228063639303,20.349993509079198,6196693.19149418,6196731,636.976993534324,2.00000781980882,9.99999995563752,648.9770013097709,36.8319279469508,21.3265713908872,3.52422493504777,1.58822154867826,5.66829267906184,7.25651422774008,1,2,5.2,7,12,8,0.1,0.1,0.33,0.38,2.4,6196731,200,0.2,20.0,30,0.1,0.6,0.2,0.9,30,31,4.4,5,11,0.011000000000000001,0.2,1,0.55,10.0,3.2,10.2,0.23529411764705901,0.5,0.3125,0.14285714285714302,0.0833333333333333,0.125,0.0556661914389681,0.114480026074259,11.3699827932905,import_TO,5.5,2,12.2,True,0.01254,True,0.523809523809524,True,True,True,True,True,2091,0.003227508181329801
