"X","time","S","E","I_sc","I_c","I_ct","I_ch","I_cicu","death","R","R_ct","N_contact","N","CumIncid","Cum_import","Cum_ss","CumIncid_tot","CumED_ct","CumAdmit","CumICU","Cumdx_ct","Cumdx_admicu","Cumdx_tot","pSet","dur_latent","dur_incubation","dur_symptomatic","dur_admitted","dur_icu","prob_test","prob_admit_diagnosed","condprob_icu","condprob_cfr","R0","initpop","seed_backCalc","prop_travel_test","drop_Reffective","social_distancing","tau_1","tau_2","tau_1_max","tau_2_max","when_test_increase","Ncases_trigger","serial_interval","event_ss","event_ss_modulo","cfr_among_dx","cfr_among_admit","import_travel","prob_diagnosed","prob_test_max","dur_subclinical","dur_inf","beta","omega","alpha","g1","g2","g3","rate_icu","death_rate","length_of_stay","parm_import","prob_admit","min_SI_calc","max_SI_calc","valid_si_check","validity_cfr_among_dx","valid_cfr_check","prob_test_max_valid","valid_prob_test_max_check","valid_tau_1_check","valid_tau_2_check","valid_prob_test_check","valid_keep","LHS_seed","DailyED_ct","DailyAdmit","ED_visits","case.per100k","DailyIncid_tot","DailyICU","peakIncid","incidence.per100k","Scenario"
28080,86,5148998.09432615,93351.7751486004,153155.850078567,183605.759298723,20404.8099698816,31193.529663625,8312.32393284558,5763.39008165263,462271.802032537,89673.6654674206,6131056.94635201,6196731,1047272.42231491,132.499951055219,79.9999784888603,1047484.92224445,71786.6690106548,83561.0501047707,30760.8201393574,11460.8576008073,111544.655537106,123005.513137913,103,1.62235647793394,4.6732819197583,6.02277966796537,12.1389612643805,7.16934689533897,0.1,0.19616605670955,0.359476345120138,0.226429415051767,2.46926191969402,6196731,247.98342940076,0.375070548099466,0.2,30,0.1,0.6,0.2,0.9,30,31,6.23404866739362,5,11,0.011,0.2,1,0.531731754375296,0.1,3.05092544182436,9.07370510978973,0.272133807503828,0.616387343719609,0.327769399504574,0.166036291401944,0.0823793715310974,0.139482719220928,0.0661775264041324,0.0481802941200422,12.0601281174524,"import_TO",0.104307721483053,1.62235647793394,10.6960615877237,TRUE,0.015967135990909,TRUE,0.477199640037039,TRUE,TRUE,TRUE,TRUE,TRUE,2091,4389.86415330961,5111.49297300009,9501.3571263097,1985.00650000642,60334.7116136659,2006.6765155633,84199.0343247699,973.653876756405,"fast/large"
28081,87,5086195.76855257,97370.7466029397,160530.116715646,193725.623301324,21529.2283524678,32984.6733693904,8827.65309940184,6176.20580137162,493593.372687684,95797.6115172074,6127213.23937738,6196731,1110072.24812868,134.99991086787,79.9999784888603,1110287.24801803,76391.9572354197,88923.4149044194,32884.0731123555,12237.5912590536,119306.221644272,131543.812903326,103,1.62235647793394,4.6732819197583,6.02277966796537,12.1389612643805,7.16934689533897,0.1,0.19616605670955,0.359476345120138,0.226429415051767,2.46926191969402,6196731,247.98342940076,0.375070548099466,0.2,30,0.1,0.6,0.2,0.9,30,31,6.23404866739362,5,11,0.011,0.2,1,0.531731754375296,0.1,3.05092544182436,9.07370510978973,0.272133807503828,0.616387343719609,0.327769399504574,0.166036291401944,0.0823793715310974,0.139482719220928,0.0661775264041324,0.0481802941200422,12.0601281174524,"import_TO",0.104307721483053,1.62235647793394,10.6960615877237,TRUE,0.015967135990909,TRUE,0.477199640037039,TRUE,TRUE,TRUE,TRUE,TRUE,2091,4605.2882247649,5362.36479964871,9967.65302441361,2122.79366174401,62802.3257735801,2123.2529729981,84199.0343247699,1013.47510120385,"fast/large"
28082,88,5020969.60152783,101347.647648025,167945.240513396,204098.535495252,22681.7720907831,34831.8509413123,9364.6456867814,6614.3758354398,526616.787414702,102260.542846479,6123238.3554457,6196731,1175295.91490002,137.500147338107,79.999995408576,1175513.41504277,81214.4557873872,94538.7316134083,35127.744964583,13056.5180093346,127515.674417972,140572.192427307,103,1.62235647793394,4.6732819197583,6.02277966796537,12.1389612643805,7.16934689533897,0.1,0.19616605670955,0.359476345120138,0.226429415051767,2.46926191969402,6196731,247.98342940076,0.375070548099466,0.2,30,0.1,0.6,0.2,0.9,30,31,6.23404866739362,5,11,0.011,0.2,1,0.531731754375296,0.1,3.05092544182436,9.07370510978973,0.272133807503828,0.616387343719609,0.327769399504574,0.166036291401944,0.0823793715310974,0.139482719220928,0.0661775264041324,0.0481802941200422,12.0601281174524,"import_TO",0.104307721483053,1.62235647793394,10.6960615877237,TRUE,0.015967135990909,TRUE,0.477199640037039,TRUE,TRUE,TRUE,TRUE,TRUE,2091,4822.4985519675,5615.31670898889,10437.8152609564,2268.489505633,65226.16702474,2243.6718522275,84199.0343247699,1052.58993854566,"fast/large"
28083,89,4953377.57463807,105258.120091545,175361.086560008,214690.670660755,23858.6671787949,36730.742177587,9922.84471986132,7078.93038655203,561381.120767164,109071.242819658,6119139.81553722,6196731,1242880.44163635,140.000303867781,84.9999923110311,1243105.44193252,86254.7478282506,100407.679454203,37495.3913768295,13918.6101255304,136187.354586143,150105.964711673,103,1.62235647793394,4.6732819197583,6.02277966796537,12.1389612643805,7.16934689533897,0.1,0.19616605670955,0.359476345120138,0.226429415051767,2.46926191969402,6196731,247.98342940076,0.375070548099466,0.2,30,0.1,0.6,0.2,0.9,30,31,6.23404866739362,5,11,0.011,0.2,1,0.531731754375296,0.1,3.05092544182436,9.07370510978973,0.272133807503828,0.616387343719609,0.327769399504574,0.166036291401944,0.0823793715310974,0.139482719220928,0.0661775264041324,0.0481802941200422,12.0601281174524,"import_TO",0.104307721483053,1.62235647793394,10.6960615877237,TRUE,0.015967135990909,TRUE,0.477199640037039,TRUE,TRUE,TRUE,TRUE,TRUE,2091,5040.29204086341,5868.9478407947,10909.2398816581,2422.34114586664,67592.0268897498,2367.6464122465,84199.0343247699,1090.76909889666,"fast/large"
28084,90,4883505.98601426,109067.107293605,182732.672260873,225463.195879758,25055.6138897578,38676.2332763365,10501.589417259,7570.8858140366,597920.160178652,116237.555975463,6114926.67760262,6196731,1312744.53006428,142.500558195457,89.9999338659128,1312977.03055634,91512.2727972783,106529.605575575,39990.3103034915,14824.7019784243,145334.804465868,160159.506444293,103,1.62235647793394,4.6732819197583,6.02277966796537,12.1389612643805,7.16934689533897,0.1,0.19616605670955,0.359476345120138,0.226429415051767,2.46926191969402,6196731,247.98342940076,0.375070548099466,0.2,30,0.1,0.6,0.2,0.9,30,31,6.23404866739362,5,11,0.011,0.2,1,0.531731754375296,0.1,3.05092544182436,9.07370510978973,0.272133807503828,0.616387343719609,0.327769399504574,0.166036291401944,0.0823793715310974,0.139482719220928,0.0661775264041324,0.0481802941200422,12.0601281174524,"import_TO",0.104307721483053,1.62235647793394,10.6960615877237,TRUE,0.015967135990909,TRUE,0.477199640037039,TRUE,TRUE,TRUE,TRUE,TRUE,2091,5257.5249690277,6121.926121372,11379.4510903997,2584.58058683349,69871.5886238201,2494.91892666199,84199.0343247699,1127.55561962945,"fast/large"
28085,91,4811462.50485579,112740.958465838,190009.786132058,236371.511260559,26267.6416203777,40662.269320009,11099.9865663123,8091.19563969971,636259.314267615,123765.831871741,6110609.90685361,6196731,1384785.51096874,145.000750181769,89.9999958892094,1385020.51171481,96984.8982869369,112902.026731203,42615.3225145363,15775.4268930975,154969.940665593,170745.367558692,103,1.62235647793394,4.6732819197583,6.02277966796537,12.1389612643805,7.16934689533897,0.1,0.19616605670955,0.359476345120138,0.226429415051767,2.46926191969402,6196731,247.98342940076,0.375070548099466,0.2,30,0.1,0.6,0.2,0.9,30,31,6.23404866739362,5,11,0.011,0.2,1,0.531731754375296,0.1,3.05092544182436,9.07370510978973,0.272133807503828,0.616387343719609,0.327769399504574,0.166036291401944,0.0823793715310974,0.139482719220928,0.0661775264041324,0.0481802941200422,12.0601281174524,"import_TO",0.104307721483053,1.62235647793394,10.6960615877237,TRUE,0.015967135990909,TRUE,0.477199640037039,TRUE,TRUE,TRUE,TRUE,TRUE,2091,5472.6254896586,6372.42115562801,11845.0466452866,2755.41035359921,72043.48115847,2625.01221104481,84199.0343247699,1162.60462425221,"fast/large"
28086,92,4737362.80266167,116253.621804469,197140.771742346,247365.527459282,27489.199730498,42681.9199864859,11716.9187791464,8640.79663319611,676418.069257212,131661.371945696,6106202.16487068,6196731,1458882.71279568,147.501117360551,89.9999958892094,1459120.21390893,102669.224015506,119520.983059517,45372.9593548213,16771.2647081682,165103.778403828,181875.043111997,103,1.62235647793394,4.6732819197583,6.02277966796537,12.1389612643805,7.16934689533897,0.1,0.19616605670955,0.359476345120138,0.226429415051767,2.46926191969402,6196731,247.98342940076,0.375070548099466,0.2,30,0.1,0.6,0.2,0.9,30,31,6.23404866739362,5,11,0.011,0.2,1,0.531731754375296,0.1,3.05092544182436,9.07370510978973,0.272133807503828,0.616387343719609,0.327769399504574,0.166036291401944,0.0823793715310974,0.139482719220928,0.0661775264041324,0.0481802941200422,12.0601281174524,"import_TO",0.104307721483053,1.62235647793394,10.6960615877237,TRUE,0.015967135990909,TRUE,0.477199640037039,TRUE,TRUE,TRUE,TRUE,TRUE,2091,5684.32572856909,6618.956328314,12303.2820568831,2935.0159481184,74099.70219412,2757.636840285,84199.0343247699,1195.78697532812,"fast/large"
28087,93,4661350.53603646,119572.643365832,204072.706105322,258389.774073344,28714.1097286203,44727.3145916198,12350.9892146873,9220.53127283821,718404.91501332,139927.480597963,6101718.05519224,6196731,1534892.47909071,150.001447545013,89.9999958892094,1535132.48053414,108560.029865264,126380.395540464,48265.1054497244,17812.4292785645,175745.093430515,193557.52270908,103,1.62235647793394,4.6732819197583,6.02277966796537,12.1389612643805,7.16934689533897,0.1,0.19616605670955,0.359476345120138,0.226429415051767,2.46926191969402,6196731,247.98342940076,0.375070548099466,0.2,30,0.1,0.6,0.2,0.9,30,31,6.23404866739362,5,11,0.011,0.2,1,0.531731754375296,0.1,3.05092544182436,9.07370510978973,0.272133807503828,0.616387343719609,0.327769399504574,0.166036291401944,0.0823793715310974,0.139482719220928,0.0661775264041324,0.0481802941200422,12.0601281174524,"import_TO",0.104307721483053,1.62235647793394,10.6960615877237,TRUE,0.015967135990909,TRUE,0.477199640037039,TRUE,TRUE,TRUE,TRUE,TRUE,2091,5890.80584975801,6859.41248094699,12750.218330705,3123.54244050742,76012.2666252099,2892.1460949031,84199.0343247699,1226.65106207144,"fast/large"
28088,94,4583585.85126989,122666.093716175,210750.606596349,269384.482782314,29935.745502725,46789.8311639653,13000.5614830483,9831.19572788834,762220.584132602,148566.047625048,6097173.66612238,6196731,1612654.66388157,152.501423253598,89.9999958892094,1612897.16530071,114650.756224436,133472.625278238,51293.2255013223,18898.9354433871,186901.266485982,205800.20192937,103,1.62235647793394,4.6732819197583,6.02277966796537,12.1389612643805,7.16934689533897,0.1,0.19616605670955,0.359476345120138,0.226429415051767,2.46926191969402,6196731,247.98342940076,0.375070548099466,0.2,30,0.1,0.6,0.2,0.9,30,31,6.23404866739362,5,11,0.011,0.2,1,0.531731754375296,0.1,3.05092544182436,9.07370510978973,0.272133807503828,0.616387343719609,0.327769399504574,0.166036291401944,0.0823793715310974,0.139482719220928,0.0661775264041324,0.0481802941200422,12.0601281174524,"import_TO",0.104307721483053,1.62235647793394,10.6960615877237,TRUE,0.015967135990909,TRUE,0.477199640037039,TRUE,TRUE,TRUE,TRUE,TRUE,2091,6090.726359172,7092.229737774,13182.956096946,3321.10917723183,77764.6847665699,3028.1200515979,84199.0343247699,1254.93078151319,"fast/large"
28089,95,4504248.03043079,125503.202606332,217118.391670533,280285.344338197,31146.9465309074,48860.0110253235,13663.7286894381,10473.4906999722,807854.875625793,157576.978382721,6092586.82305437,6196731,1691989.98484699,155.001296932323,89.9999958892094,1692234.98613982,120933.12424688,140788.031081482,54458.1418588212,20030.533655794,198577.446778537,218607.980434331,103,1.62235647793394,4.6732819197583,6.02277966796537,12.1389612643805,7.16934689533897,0.1,0.19616605670955,0.359476345120138,0.226429415051767,2.46926191969402,6196731,247.98342940076,0.375070548099466,0.2,30,0.1,0.6,0.2,0.9,30,31,6.23404866739362,5,11,0.011,0.2,1,0.531731754375296,0.1,3.05092544182436,9.07370510978973,0.272133807503828,0.616387343719609,0.327769399504574,0.166036291401944,0.0823793715310974,0.139482719220928,0.0661775264041324,0.0481802941200422,12.0601281174524,"import_TO",0.104307721483053,1.62235647793394,10.6960615877237,TRUE,0.015967135990909,TRUE,0.477199640037039,TRUE,TRUE,TRUE,TRUE,TRUE,2091,6282.368022444,7315.40580324401,13597.773825688,3527.79522677894,79337.8208391101,3164.9163574989,84199.0343247699,1280.31732923553,"fast/large"
